make_model,hp_kW,km,age,Gearing_Type,Gears,Type,price
Audi A1,66.0,56013.0,3.0,Automatic,7.0,Used,15770
Audi A1,141.0,80000.0,2.0,Automatic,7.0,Used,14500
Audi A1,85.0,83450.0,3.0,Automatic,7.0,Used,14640
Audi A1,66.0,73000.0,3.0,Automatic,6.0,Used,14500
Audi A1,66.0,16200.0,3.0,Automatic,7.0,Used,16790
Audi A1,85.0,63668.0,3.0,Automatic,7.0,Used,15090
Audi A1,85.0,62111.0,3.0,Automatic,7.0,Used,16422
Audi A1,66.0,14986.0,3.0,Automatic,7.0,Used,14480
Audi A1,85.0,57000.0,3.0,Automatic,7.0,Used,16700
Audi A1,70.0,16103.0,2.0,Automatic,7.0,Used,17990
Audi A1,85.0,11300.0,1.0,Automatic,7.0,Used,18500
Audi A1,92.0,26415.0,3.0,Automatic,7.0,Used,17990
Audi A1,92.0,31600.0,3.0,Automatic,7.0,Used,18380
Audi A1,112.0,45764.0,3.0,Automatic,7.0,Used,18399
Audi A1,70.0,34914.0,3.0,Automatic,7.0,Used,17990
Audi A1,85.0,27000.0,3.0,Automatic,7.0,Employee's car,18700
Audi A1,85.0,9752.0,1.0,Automatic,5.0,Used,18900
Audi A1,66.0,28408.0,2.0,Automatic,7.0,Used,18500
Audi A1,70.0,50280.0,3.0,Automatic,7.0,Used,18400
Audi A1,85.0,13406.0,1.0,Automatic,7.0,Used,18500
Audi A1,85.0,51160.0,2.0,Automatic,7.0,Used,18500
Audi A1,92.0,15850.0,3.0,Automatic,7.0,Used,18500
Audi A1,92.0,17000.0,3.0,Automatic,7.0,Used,18900
Audi A1,85.0,9077.0,1.0,Automatic,7.0,Used,18850
Audi A1,70.0,3000.0,1.0,Automatic,7.0,Used,18500
Audi A1,70.0,115000.0,3.0,Manual,5.0,Used,8999
Audi A1,70.0,84029.0,3.0,Manual,5.0,Used,11444
Audi A1,70.0,67800.0,3.0,Manual,5.0,Used,11300
Audi A1,66.0,14556.0,1.0,Automatic,7.0,Used,18900
Audi A1,70.0,22000.0,3.0,Manual,5.0,Used,11290
Audi A1,66.0,38400.0,3.0,Manual,5.0,Used,11290
Audi A1,66.0,83307.0,3.0,Manual,5.0,Used,11440
Audi A1,70.0,39668.0,3.0,Manual,5.0,Used,11445
Audi A1,66.0,30353.0,3.0,Manual,5.0,Used,11700
Audi A1,66.0,126000.0,3.0,Manual,5.0,Used,11900
Audi A1,70.0,57500.0,3.0,Manual,5.0,Used,11949
Audi A1,70.0,73945.0,3.0,Manual,5.0,Used,11890
Audi A1,66.0,96000.0,2.0,Manual,5.0,Used,11600
Audi A1,60.0,43120.0,3.0,Manual,5.0,Used,11900
Audi A1,66.0,110715.0,3.0,Manual,5.0,Used,11630
Audi A1,60.0,31971.0,3.0,Manual,5.0,Used,11880
Audi A1,66.0,94800.0,3.0,Manual,5.0,Used,11800
Audi A1,66.0,85000.0,3.0,Manual,5.0,Used,11850
Audi A1,66.0,111265.0,3.0,Manual,5.0,Used,11569
Audi A1,66.0,44120.0,3.0,Manual,5.0,Used,11490
Audi A1,70.0,97976.0,3.0,Manual,5.0,Used,11490
Audi A1,66.0,106000.0,3.0,Manual,5.0,Used,11500
Audi A1,85.0,60000.0,3.0,Manual,5.0,Used,11790
Audi A1,60.0,58000.0,3.0,Manual,5.0,Used,11490
Audi A1,60.0,57454.0,3.0,Manual,5.0,Used,11470
Audi A1,66.0,94055.0,3.0,Manual,5.0,Used,11480
Audi A1,70.0,56000.0,3.0,Manual,5.0,Used,11180
Audi A1,70.0,27600.0,3.0,Manual,5.0,Used,11450
Audi A1,85.0,111670.0,3.0,Manual,5.0,Used,11100
Audi A1,66.0,30500.0,3.0,Manual,5.0,Used,10900
Audi A1,70.0,69500.0,2.0,Manual,5.0,Used,10999
Audi A1,60.0,43500.0,3.0,Manual,5.0,Used,10900
Audi A1,70.0,45696.0,3.0,Manual,5.0,Used,10950
Audi A1,66.0,34000.0,3.0,Manual,5.0,Used,10800
Audi A1,70.0,55000.0,3.0,Manual,5.0,Used,10600
Audi A1,66.0,99000.0,3.0,Manual,5.0,Used,10800
Audi A1,70.0,118500.0,3.0,Manual,5.0,Used,9950
Audi A1,70.0,85000.0,3.0,Manual,5.0,Used,10300
Audi A1,85.0,192000.0,3.0,Manual,5.0,Used,10000
Audi A1,66.0,130000.0,3.0,Manual,5.0,Used,10490
Audi A1,71.0,41294.0,3.0,Automatic,7.0,Used,18900
Audi A1,85.0,64000.0,2.0,Automatic,7.0,Used,18900
Audi A1,70.0,13135.0,1.0,Automatic,7.0,Used,18900
Audi A1,70.0,4250.0,2.0,Automatic,7.0,Used,18900
Audi A1,70.0,2949.0,1.0,Automatic,7.0,Used,18890
Audi A1,71.0,17861.0,2.0,Automatic,7.0,Used,18890
Audi A1,92.0,22800.0,2.0,Automatic,7.0,Used,18890
Audi A1,70.0,5108.0,2.0,Automatic,7.0,Used,18880
Audi A1,70.0,11335.0,1.0,Automatic,7.0,Employee's car,18880
Audi A1,70.0,6396.0,1.0,Automatic,7.0,Used,18880
Audi A1,85.0,47800.0,3.0,Automatic,7.0,Used,18880
Audi A1,70.0,7021.0,1.0,Automatic,7.0,Used,18880
Audi A1,92.0,30952.0,3.0,Automatic,7.0,Used,18880
Audi A1,92.0,33991.0,3.0,Automatic,7.0,Used,18880
Audi A1,66.0,35800.0,2.0,Automatic,7.0,Used,18870
Audi A1,85.0,7672.0,1.0,Automatic,7.0,Used,18850
Audi A1,85.0,13406.0,1.0,Automatic,7.0,Used,18500
Audi A1,70.0,8430.0,1.0,Automatic,7.0,Used,18870
Audi A1,85.0,40488.0,3.0,Automatic,5.0,Used,18497
Audi A1,66.0,24200.0,2.0,Automatic,7.0,Used,18490
Audi A1,66.0,26500.0,2.0,Automatic,7.0,Used,18490
Audi A1,71.0,58806.0,3.0,Automatic,7.0,Used,18490
Audi A1,85.0,39000.0,3.0,Automatic,7.0,Used,18500
Audi A1,92.0,16700.0,2.0,Automatic,7.0,Used,18490
Audi A1,92.0,41900.0,3.0,Automatic,7.0,Used,18490
Audi A1,92.0,15093.0,3.0,Automatic,7.0,Used,18480
Audi A1,66.0,5211.0,1.0,Automatic,7.0,Used,18480
Audi A1,70.0,12000.0,1.0,Automatic,7.0,Used,18470
Audi A1,92.0,50066.0,3.0,Automatic,7.0,Used,18444
Audi A1,71.0,51484.0,2.0,Automatic,7.0,Used,18400
Audi A1,85.0,14770.0,1.0,Automatic,7.0,Employee's car,18400
Audi A1,85.0,12415.0,1.0,Automatic,7.0,Used,18900
Audi A1,85.0,26064.0,1.0,Automatic,7.0,Used,18900
Audi A1,85.0,16500.0,1.0,Automatic,7.0,Employee's car,18900
Audi A1,92.0,9000.0,3.0,Automatic,7.0,Used,18900
Audi A1,85.0,12402.0,1.0,Automatic,7.0,Used,18900
Audi A1,85.0,14702.0,1.0,Automatic,7.0,Used,18900
Audi A1,85.0,14523.0,1.0,Automatic,7.0,Employee's car,18900
Audi A1,85.0,9082.0,1.0,Automatic,7.0,Used,18900
Audi A1,85.0,9580.0,1.0,Automatic,5.0,Used,18900
Audi A1,85.0,10013.0,1.0,Automatic,5.0,Used,18900
Audi A1,85.0,10450.0,1.0,Automatic,5.0,Used,18900
Audi A1,85.0,14878.0,1.0,Automatic,7.0,Used,18900
Audi A1,85.0,10273.0,1.0,Automatic,5.0,Used,18900
Audi A1,71.0,47500.0,3.0,Automatic,7.0,Used,18900
Audi A1,85.0,9466.0,1.0,Automatic,5.0,Used,18900
Audi A1,85.0,18971.0,1.0,Automatic,7.0,Used,18900
Audi A1,70.0,31877.0,1.0,Automatic,7.0,Used,18900
Audi A1,85.0,9878.0,1.0,Automatic,5.0,Used,18900
Audi A1,70.0,17535.0,1.0,Automatic,7.0,Used,18900
Audi A1,92.0,76264.0,3.0,Automatic,7.0,Used,18850
Audi A1,70.0,6695.0,1.0,Automatic,7.0,Used,18850
Audi A1,92.0,21275.0,3.0,Automatic,7.0,Used,18850
Audi A1,66.0,12261.0,1.0,Automatic,7.0,Used,18850
Audi A1,70.0,3620.0,1.0,Automatic,7.0,Used,18840
Audi A1,85.0,8330.0,1.0,Automatic,5.0,Used,18800
Audi A1,70.0,20306.0,1.0,Automatic,7.0,Employee's car,18750
Audi A1,85.0,1.0,0.0,Automatic,7.0,New,18730
Audi A1,85.0,27000.0,3.0,Automatic,7.0,Employee's car,18700
Audi A1,92.0,31750.0,3.0,Automatic,7.0,Used,18690
Audi A1,70.0,19800.0,2.0,Automatic,7.0,Used,18600
Audi A1,85.0,52000.0,3.0,Automatic,7.0,Used,18500
Audi A1,70.0,15500.0,1.0,Automatic,7.0,Used,18500
Audi A1,92.0,25977.0,3.0,Automatic,7.0,Used,18620
Audi A1,70.0,9000.0,2.0,Automatic,7.0,Used,18500
Audi A1,66.0,65000.0,2.0,Automatic,7.0,Used,18500
Audi A1,85.0,14493.0,1.0,Automatic,7.0,Used,18500
Audi A1,92.0,33500.0,2.0,Automatic,7.0,Used,18500
Audi A1,70.0,4800.0,1.0,Automatic,7.0,Employee's car,18333
Audi A1,70.0,51000.0,3.0,Automatic,7.0,Used,18350
Audi A1,70.0,7307.0,2.0,Automatic,7.0,Used,18349
Audi A1,70.0,4800.0,1.0,Automatic,7.0,Employee's car,18333
Audi A1,70.0,5500.0,1.0,Automatic,7.0,Employee's car,18333
Audi A1,66.0,35500.0,1.0,Automatic,7.0,Used,18300
Audi A1,92.0,18000.0,2.0,Automatic,7.0,Used,18300
Audi A1,92.0,40000.0,2.0,Automatic,7.0,Used,18290
Audi A1,85.0,14551.0,1.0,Automatic,7.0,Employee's car,18250
Audi A1,85.0,16500.0,1.0,Automatic,6.0,Used,18200
Audi A1,85.0,26700.0,3.0,Automatic,7.0,Used,18185
Audi A1,70.0,8000.0,2.0,Automatic,7.0,Used,18150
Audi A1,85.0,15000.0,1.0,Automatic,6.0,Used,18000
Audi A1,92.0,14436.0,2.0,Automatic,7.0,Used,17998
Audi A1,92.0,72624.0,3.0,Automatic,7.0,Used,17998
Audi A1,66.0,13960.0,3.0,Automatic,7.0,Used,17990
Audi A1,92.0,40301.0,3.0,Automatic,7.0,Used,17990
Audi A1,71.0,19990.0,2.0,Automatic,7.0,Used,17990
Audi A1,70.0,3087.0,1.0,Automatic,7.0,Used,17990
Audi A1,66.0,37626.0,3.0,Automatic,7.0,Used,17989
Audi A1,70.0,22980.0,2.0,Automatic,7.0,Used,17980
Audi A1,66.0,57926.0,3.0,Automatic,7.0,Used,17980
Audi A1,92.0,3900.0,2.0,Automatic,7.0,Used,17970
Audi A1,92.0,7924.0,3.0,Automatic,7.0,Used,17980
Audi A1,85.0,6257.0,2.0,Automatic,7.0,Used,17970
Audi A1,85.0,29800.0,3.0,Automatic,7.0,Used,17950
Audi A1,70.0,35816.0,3.0,Automatic,7.0,Used,17950
Audi A1,92.0,12960.0,1.0,Automatic,7.0,Used,17950
Audi A1,70.0,8600.0,1.0,Automatic,7.0,Employee's car,17950
Audi A1,70.0,14300.0,2.0,Automatic,7.0,Used,17950
Audi A1,70.0,9463.0,1.0,Automatic,7.0,Used,17944
Audi A1,92.0,20326.0,3.0,Automatic,7.0,Used,17940
Audi A1,70.0,70000.0,3.0,Automatic,7.0,Used,17950
Audi A1,66.0,23664.0,1.0,Automatic,7.0,Used,17500
Audi A1,66.0,51900.0,3.0,Automatic,7.0,Used,17500
Audi A1,70.0,15000.0,2.0,Automatic,7.0,Used,17500
Audi A1,92.0,33000.0,3.0,Automatic,7.0,Used,17500
